+----+---------------------------------------------------------+--------+----------------+-------------------------------------------------------------------+-------------------------------+-----------+-------+---------+----------+-----------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  1 | Albany-Corvallis ReUseIt                                | Reuse  | 541-754-9011   | https://groups.yahoo.com/neo/groups/albanycorvallisReUseIt/info   | NULL                          | NULL      | OR    |    NULL |     NULL |      NULL | NULL                                                                                                                                                                                          |
|  2 | Arc Thrift Stores  (Corvallis)                          | Reuse  | 541-754-9011   | NULL                                                              | 928 NW Beca Ave               | Corvallis | OR    |   97330 |  44.5782 |  -123.262 | NULL                                                                                                                                                                                          |
|  3 | Arc Thrift Stores (Philomath)                           | Reuse  | 541-929-3946   | NULL                                                              | 936 Main St                   | Philomath | OR    |   97370 |  44.5401 |  -123.373 | NULL                                                                                                                                                                                          |
|  4 | Beekman Place Antique Mall                              | Reuse  | 541-753-8250   | NULL                                                              | 601 SW Western Blvd           | Corvallis | OR    |   97333 |  44.5604 |  -123.267 | NULL                                                                                                                                                                                          |
|  5 | Benton County Extension / 4-H  Activities               | Reuse  | 541-766-6750   | NULL                                                              | 1849 NW 9th                   | Corvallis | OR    |   97330 |   44.586 |  -123.257 | NULL                                                                                                                                                                                          |
|  6 | Benton County Master Gardeners                          | Reuse  | 541-766-6750   | NULL                                                              | 1849 NW 9th St                | Corvallis | OR    |   97330 |   44.586 |  -123.257 | NULL                                                                                                                                                                                          |
|  7 | Book Bin                                                | reuse  | 541-752-0040   | NULL                                                              | 215 SW 4th St                 | Corvallis | OR    |   97333 |  44.5635 |  -123.262 | NULL                                                                                                                                                                                          |
|  8 | Browser's Bookstore                                     | Reuse  | 888-758-1121   | NULL                                                              | 121 NW 4th St                 | Corvallis | OR    |   97330 |  44.5652 |  -123.261 | NULL                                                                                                                                                                                          |
|  9 | Boys & Girls Club / STARS (after school programs)       | Reuse  | 541-757-1909   | NULL                                                              | 1112 NW Circle Blvd           | Corvallis | OR    |   97330 |  44.5889 |  -123.264 | NULL                                                                                                                                                                                          |
| 10 | Buckingham Palace -Fri-Sun only                         | Reuse  | 541-752-7980   | NULL                                                              | 600 SW 3rd St                 | Corvallis | OR    |   97333 |  44.5596 |  -123.264 | NULL                                                                                                                                                                                          |
| 11 | Calvary Community Outreach                              | Reuse  | 541-760-5941   | NULL                                                              | 2125 NW Lester Ave            | Corvallis | OR    |   97330 |  44.6078 |  -123.278 | NULL                                                                                                                                                                                          |
| 12 | CARDV (Center Against Rape/Domestic Violence)           | Reuse  | 541-758-0219   | NULL                                                              | 4786 SW Philomath Blvd        | Corvallis | OR    |   97333 |  44.5531 |  -123.305 | NULL                                                                                                                                                                                          |
| 13 | Career Closet for Women (drop-off at)                   | Reuse  | 541-754-6979   | NULL                                                              | 942 NW 9th, Ste.A             | Corvallis | OR    |   97330 |  44.5746 |  -123.263 | NULL                                                                                                                                                                                          |
